,1e-07,1e-06,1e-05,0.0001,0.0003,0.001,0.003,0.01,0.03,0.1
0,0.885,0.8955,0.9015,0.907,0.9074,0.8948,0.7961,0.097,0.1,0.1
1,0.8866,0.9008,0.9032,0.9088,0.9049,0.8843,0.8011,0.103,0.1,0.1
2,0.8867,0.8985,0.9064,0.9067,0.9039,0.8925,0.7331,0.1,0.1,0.1
3,0.8867,0.8987,0.904,0.9081,0.9065,0.8934,0.7731,0.1,0.1,0.1
4,0.8896,0.8984,0.902,0.9101,0.9027,0.8844,0.1003,0.1,0.1,0.1
5,0.8886,0.8984,0.904,0.9082,0.9044,0.893,0.0999,0.1,0.1,0.1
6,0.8902,0.9004,0.908,0.9064,0.9055,0.8708,0.1007,0.1,0.1,0.1
7,0.8929,0.8991,0.9072,0.9116,0.9055,0.8798,0.1004,0.1,0.1,0.1
8,0.8908,0.9021,0.9056,0.9096,0.906,0.8917,0.1009,0.1,0.1,0.1
9,0.8917,0.8993,0.9084,0.9089,0.9049,0.891,0.0999,0.1,0.1,0.1
