,AlexNet architecture,AlexNet architecture,LeNet architecture,LeNet architecture
,accuracy,loss,accuracy,loss
0,0.8312,0.4721907675266266,0.8947,0.19637805223464966
1,0.8234,0.31069913506507874,0.8953,0.177939310669899
2,0.8654,0.46091803908348083,0.8957,0.2457829862833023
3,0.8707,0.33723023533821106,0.8968,0.15637274086475372
4,0.8857,0.23896940052509308,0.8948,0.4404793083667755
5,0.8848,0.27774807810783386,0.892,0.3738844096660614
6,0.8886,0.2925271987915039,0.8958,0.3532058894634247
7,0.8863,0.18632817268371582,0.8929,0.2591651678085327
8,0.8868,0.2689495384693146,0.8968,0.2382492870092392
9,0.8969,0.4164018929004669,0.896,0.2897097170352936
