,SGD,SGD,AdamW,AdamW,Adam,Adam
,accuracy,loss,accuracy,loss,accuracy,loss
0,0.13,2.3024704456329346,0.1039,2.301217794418335,0.8193,0.3481694757938385
1,0.1551,2.3007237911224365,0.102,2.3028793334960938,0.84,0.342952698469162
2,0.188,2.298950433731079,0.0995,2.3013224601745605,0.8682,0.3324193060398102
3,0.2325,2.293017625808716,0.0981,2.3039512634277344,0.8743,0.22686529159545898
4,0.2638,2.2877464294433594,0.0966,2.302386999130249,0.8837,0.47490978240966797
5,0.2181,2.2473928928375244,0.1006,2.3034262657165527,0.8884,0.2889443337917328
6,0.5114,1.1577035188674927,0.0968,2.3013198375701904,0.8798,0.3981029689311981
7,0.5986,1.104712963104248,0.0976,2.3010780811309814,0.8823,0.2530406415462494
8,0.6244,0.8341603875160217,0.1004,2.3022689819335938,0.8879,0.23602430522441864
9,0.6321,0.9976616501808167,0.1003,2.30379581451416,0.8946,0.2675093114376068
